store_id,name,address_line1,city,region,Product Name,Price,Price Per Count,Primary Location Name,Available Quantity,Order Pickup
2297,Front Royal,10 Crooked Run Plaza,Front Royal,VA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Front Royal,10,IN_STOCK
881,Eagle Creek,6925 W 38th St,Indianapolis,IN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Eagle Creek,10,IN_STOCK
1972,Whitehall,3955 E Broad St,Whitehall,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Whitehall,10,IN_STOCK
930,St Cloud East,125 Lincoln Ave SE,Saint Cloud,MN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,St Cloud East,10,IN_STOCK
670,Springfield,3445 Freedom Dr,Springfield,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Springfield,10,IN_STOCK
1546,East Point,3660 Marketplace Blvd,East Point,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,East Point,10,IN_STOCK
1766,Hurst,1400 Precinct Line Rd,Hurst,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Hurst,10,IN_STOCK
2419,Houston Eldridge Pkwy,2700 Eldridge Pkwy,Houston,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Houston Eldridge Pkwy,10,IN_STOCK
3419,Kent Island,200 Kent Landing,Stevensville,MD,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Kent Island,8,IN_STOCK
1946,Fairfield Township,3369 Princeton Rd,Hamilton,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Fairfield Township,10,IN_STOCK
1010,Boulevard Mall,1575 Niagara Falls Blvd,Amherst,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Boulevard Mall,10,IN_STOCK
2036,Atlanta Perimeter,100 Perimeter Center Pl,Atlanta,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Atlanta Perimeter,10,IN_STOCK
1840,Stateline,1201 W 136th St,Kansas City,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Stateline,10,IN_STOCK
3242,Bethesda,6831 Wisconsin Ave,Bethesda,MD,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Bethesda,10,IN_STOCK
2414,Fairview Heights,4701 N Illinois St,Fairview Heights,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Fairview Heights,10,IN_STOCK
752,Jefferson City,735 W Stadium Blvd,Jefferson City,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Jefferson City,10,IN_STOCK
1215,Elyria,240 Market Dr,Elyria,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Elyria,10,IN_STOCK
2406,Woodbury Commerce Drive,449 Commerce Dr,Woodbury,MN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Woodbury Commerce Drive,10,IN_STOCK
1973,Tallahassee North,3700 Bradfordville Rd,Tallahassee,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Tallahassee North,10,IN_STOCK
1825,Montgomery,2576 Berryhill Rd,Montgomery,AL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Montgomery,10,IN_STOCK
1235,Hudson,2401 Coulee Rd,Hudson,WI,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Hudson,10,IN_STOCK
1136,Springfield,857 Baltimore Pike,Springfield,PA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Springfield,10,IN_STOCK
2135,Oakdale,7900 32nd St N,Oakdale,MN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Oakdale,10,IN_STOCK
2276,Alabaster,250 S Colonial Dr,Alabaster,AL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Alabaster,10,IN_STOCK
2338,Frisco North,4885 Eldorado Pkwy,Frisco,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Frisco North,10,IN_STOCK
1102,Brentwood,25 Brentwood Promenade Ct,Brentwood,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Brentwood,10,IN_STOCK
1860,Oklahoma City NW,8315 N Rockwell Ave,Oklahoma City,OK,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Oklahoma City NW,10,IN_STOCK
1109,Mays Landing,380 Consumer Sq,Mays Landing,NJ,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Mays Landing,10,IN_STOCK
773,Plainfield,2673 E Main St,Plainfield,IN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Plainfield,10,IN_STOCK
1914,Osage Beach,919 Highway D,Osage Beach,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Osage Beach,10,IN_STOCK
1922,Burleson,200 NW John Jones Dr,Burleson,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Burleson,10,IN_STOCK
2488,Western Hills,6150 Glenway Ave,Cincinnati,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Western Hills,10,IN_STOCK
832,Roswell,2725 N Main St,Roswell,NM,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Roswell,6,IN_STOCK
